一	百
一拍即合	格格不入 方枘圆凿 话不投机 白头如新
一拖再拖	当务之急
一掷千金	爱财如命
一掷百万	爱财如命
一改故辙	一成不变
一文不值	一字千金
一无可取	百孔千疮
一无所得	满载而归
一无所有	比比皆是
一无所有	比比皆是 座无虚席 应有尽有 无一不备 包罗万有 无所不有 无所不包 包罗万象 一应俱全
一无所知	了如指掌
一无所能	拿手好戏
一无所获	满载而归
一无所获	硕果累累 捷足先登 垂手而得 唾手可得 捷足先得 满载而归
一无所长	独具只眼
一无是处	十全十美
一无是处	十全十美 各有千秋 未可厚非 白璧无瑕 尺寸可取 尽善尽美 完美无缺
一无长物	应有尽有
一无顾虑	顾虑重重
一日三秋	一刻千金
一日之雅	八拜之交
一日千里	老牛破车
一日千里	老牛破车 停滞不前 每况愈下 江河日下 慢条斯理
一时	时常 持久 常常
一时半刻	长此以往
一星半点	比比皆然
一暴十寒	锲而不舍
一曝十寒	半途而废
一望无际	无边无际 连绵起伏 一衣带水 茫无涯际 近在眉睫 漫无边际 咫尺之间 一马平川
一朝一夕	天长地久 穷年累月 遥遥无期 千秋万岁 积年累月 久而久之 年深日久 成年累月 经年累月 日久年深 千秋万载 千秋万代 万古长存 经久不息 地老天荒 山高水长 长年累月 地久天长 通宵达旦 千年万载 日久天长
一朝一夕	日久天长
一木难支	众擎易举
一本万利	事倍功半
一本正经	嘻皮笑脸
一本正经	摇头晃脑 嬉皮笑脸 不伦不类 吊儿郎当 油腔滑调 油头滑脑 插科打诨 油嘴滑舌 不三不四 嘻皮笑脸 打情骂俏 吊尔郎当 非驴非马 拿班作势
一板一眼	颠三倒四 看风使舵
一板三眼	不知所云
一枝独秀	万紫千红 花团锦簇 百花齐放
一样	不同 互异 各异
一模一样	截然不同
一步登天	一落千丈
一毛不拔	倾囊相助
一气呵成	断断续续
一气呵成	零敲碎打
一水之隔	千山万水
一波三折	一帆顺风 布帆无恙 一帆风顺 一气呵成
一波三折	一帆风顺
一波三折	万事大吉
一泻千里	迂回曲折
一泻千里	迂回曲折 一潭死水 斗折蛇行 死水微澜
一淆二楚	扑朔迷离
一清二楚	含糊其词 鱼目混珠 模糊不清 昏天黑地 支支吾吾 吞吞吐吐 若明若暗 高深莫测 隐隐约约 扑朔迷离 含糊其辞
一溃千里	旗开得胜
一潭死水	波澜壮阔
一点儿	大量
一点论	两点论
一片祥和	一片详和
一片详和	一片祥和
一盘散沙	众志成城
一目了然	目不暇接
一目了然	窥见一斑 摸不着头脑 目不暇接 一孔之见 草蛇灰线 目不暇给 迷离恍惚 盘根错节 不甚了了 错综复杂 不可思议 时隐时现 高深莫测 深不可测 眼花缭乱 千头万绪 不得要领 雾里看花 若明若暗 管中窥豹 不可捉摸 管窥蠡测 若隐若现 不知所以
一直	中断 断续 间断
一相情愿	两相情愿
一知半解	通今博古
一神教	多神教
一穷二白	丰衣足食 人给家足
一穷二白	人给家足
一窍不通	游刃有余
一窍不通	滚瓜烂熟 无所不通 游刃有余 顿开茅塞 行家里手 茅塞顿开 一通百通 全智全能 登堂入室 无所不知 洞察一切 触类旁通 心照不宣 全知全能
一笑置之	令人发指
一笑置之	斤斤计较 锱铢必较 拭目以待 令人发指
一笔抹煞	生吞活剥
一筹莫展	大展宏图
一筹莫展	神通广大 大显身手 庖丁解牛 游刃有余 锦囊妙计 千方百计 一通百通 折冲千里 大显神通 稳操胜券 足智多谋 情急智生 急中生智 大展宏图
一箭之遥	天涯海角
一箭双雕	事倍功半
一统天下	半壁江山
一统天下	政出多门 四分五裂 豆剖瓜分 半壁江山 残山剩水 铜驼荆棘 自立门户 一盘散沙
一网打尽	漏网之鱼
一脉相承	以讹传讹
一脉相承	以讹传讹 中西合璧
一般化	特殊化
一般性	特殊性
一花独放	百花齐放
一落千丈	一飞冲天 扶摇直上 一步登天 步步登高 一往无前 盛极一时 突飞猛进 青云直上
一落千丈	扶摇直上
一衣带水	千山万水
一衣带水	千里迢迢
一衣带水	天南海北 一望无边 万水千山 天各一方 一望无际 咫尺天涯 万里迢迢 天涯海角
一表人才	其貌不扬
一表人才	其貌不扬 獐头鼠目 呆头呆脑
一见钟情	行同陌路 恨之入骨 视同路人 一面之交 无动于衷
一视同仁	党同妒异 欺软怕硬 量才录用 另眼相待 厚此薄彼 因事制宜 另眼看待 因事为制 因材施教 另眼相看 有色眼镜 狗眼看人 趋炎附势
一视同仁	厚此薄彼
一览无余	目不暇接
一览无遗	略见一斑
一触即发	风平浪静 引而不发
一触即溃	坚不可摧
一言不发	口若悬河
一言不语	娓娓动听
一言两语	千言万语
一言丧邦	一言兴邦
一言为定	口血未乾
一言九鼎	人微言轻
一言九鼎	人微言轻 一言难尽
一言兴邦	一言丧邦
一言千金	人微言轻
一言半语	千言万语
一言堂	群言堂
一言既出，驷马难追	言而无信
一语中的	不痛不痒
一语破的	不可名状
一误再误	知错改错
一诺千金	轻诺寡信
一诺千金	食言而肥 空头支票 三反四覆 自食其言 轻诺寡信 背信弃义 背义负信 言而无信 信口开河
一败如水	一败涂地
一败涂地	百战不殆
一败涂地	百战不殆 东山再起 不败之地 旗开得胜 一鼓作气 克敌制胜 势如破竹 百战百胜
一贫如洗	丰衣足食 富贵荣华 腰缠万贯 金玉满堂 肥马轻裘 席丰履厚 甲第连云 家财万贯 富可敌国 无所不包 富甲一方 荣华富贵 富丽堂皇
一贫如洗	家财万贯
一贯	偶尔 偶然
一贯	偶然
一路顺风	跋山涉水
一蹴而就	欲速不达
一蹴而就	欲速不达 铢积寸累 披沙拣金 一事无成 欲速则不达 一蹶不振
一蹶不振	方兴未艾 一步登天 百折不回 东山再起 一蹴而就 卷土重来 男孩们回来了 销声匿迹 死灰复燃 一蹶而就 百折不挠 平步青云 重整旗鼓 死灰复然
一蹶不振	百折不挠
一身是胆	泼天大胆
一身是胆	胆小如鼠 畏首畏尾
一辈子	半辈子
一针一线	斗牛车薪
一针见血	离题万里 空洞无物 无的放矢 言不及义 支吾其词 隔靴搔痒 言外之意 泛泛之谈 不痛不痒 不着边际 言之无物 莫衷一是
一针见血	隔靴搔痒
一钱不值	价值连城
一钱不值	无价之宝 价值连城 价值千金 连城之璧
一锤定音	犹犹豫豫 犹豫不决
一阵儿	半天
一阵子	半天
一隅之见	远见卓识
一面之词	兼听则明
一面倒	骑墙式
一飞冲天	一落千丈
一馈十起	游手好闲
一马平川	崇山峻岭
一马当先	知难而退 后来居上 后起之秀 慢条斯理
一鼓作气	一败如水 一败涂地 偃旗息鼓
丁是丁，卯是卯	藕断丝连
七上八落	心安理得
七嘴八舌	沉默寡言 众口一词 鸦雀无声
七情六欲	四大皆空
七手八脚	有条不紊
七扭八歪	端端正正
七折八扣	不折不扣
七拼八凑	无懈可击
七横八竖	井井有理
七步之才	江郎才尽
七步成诗	江郎才尽
七歪八扭	休养生息
七歪八扭	端端正正
七歪八扭	黩武穷兵
七歪八斜	端端正正
七窍生烟	心平气和
七通八达	窒塞难行
七长八短	
七长八短	休
七长八短	戚
七长八短	齐整划一
七零八碎	完好无缺
七零八落	整整齐齐
七颠八倒	杂乱无章
万	一
万万千千	九牛一毫
万不耐	不舞之鹤
万世流芳	骂名千载
万事亨通	艰难曲折
万事亭通	百事无成
万事大吉	艰难曲折 节外生枝 一事无成
万事大吉	节外生枝
万人空巷	穷乡僻壤
万人空巷	穷乡僻壤 十室九空
万众一心	离心离德
万众叶心	一盘散沙
万劫不复	卷土重来
万古不变	万象更新
万古不朽	骂名千载
万古千秋	一年半载
万古流芳	骂名千载
万古长存	遗臭万年
万古长新	瞬息即逝
万古长春	瞬息即逝
万古长青	每况愈下 昙花一现
万壑千岩	一马平川
万头攒动	万头涌动
万头涌动	万头攒动
万家亨通	得心应手
万家灯火	灯火阑珊
万寿无疆	浮生瞬息
万念俱灰	心灰意冷
万无一失	百密一疏
万死不辞	贪生怕死
万流景仰	民怨沸腾
万箭攒心	兴高采烈
万籁俱寂	鸦雀无声
万籁无声	鸦雀无声
万紫千红	一枝独秀 枯木朽株 一花独放 落花流水 流水落花
万紫千红	一花独放
万红千紫	百花凋零
万语千言	片文只字
万象更新	万古不变
万象更新	万古不变 依然如故
万贯家财	不名一钱
万马奔腾	一潭死水 万马齐喑 死水微澜
万马奔腾	万马齐喑
万马弃腾	一潭死水
万马齐喑	百家争鸣
丈夫气	脂粉气
三	一
三三两两	人山人海
三三两两	人山人海 人如潮涌 三五成群
三三五五	成群结队
三五成众	孤身只影
三五成群	形单影只 三三两两 风流云散 孑然
三人成虎	眼见为实
三从四德	倒行逆施
三从四德	独立自主 倒行逆施 大逆不道
三令五申	从令如流 敷衍了事
三伏盛暑	十冬腊月
三位一体	势不两立
三位一体	格格不入 势不两立
三元及第	累试不中
三公九卿	抱关击柝
三分鼎势	车书混一
三十六策，走为上策	坐以待毙
三十六计，走为上计	坐以待毙
三反四覆	轻诺寡信
三天打鱼，两天晒网	锲而不舍
三头六臂	一无所长
三寸丁	伟丈夫
三岔路	直道
三心两意	离心离德
三心二意	一心一意
三心二意	一心一计 全力以赴 一心一意 同心同德 情之所钟 聚精会神 力排众议 不遗余力 心无旁骛 滴水石穿 群策群力 全心全意 专心一意 真心实意 全神贯注 好心好意 心无二用 诚心实意 专心致志
三思而行	冒昧从事
三战三北	所向无敌
三日绕梁	不堪入耳
三旬九食	食前方丈
三星高照	大祸临头
三春晖	寸草心
三更半夜	大天白日
三朝元老	抱关击柝
三生有幸	天不作美
三番五次	绝无仅有
三纲五常	离经叛道
三纲五常	离经叛道 大逆不道
三缄其口	信口开河
三翻四复	心不在焉
三言两语	千言万语
三言两语	千语万言 长篇大论 万语千言 夸夸其谈 千言万语 絮絮不休 连篇累牍 一声不响 滔滔不绝 喋喋不休
三贞九烈	二三其德
三贫路	直道
三长两短	安然无恙
三顾茅庐	拒人千里
上	下
上下其手	光明磊落
上下同弃	雅俗共赏
上任	下野 离任 离职 辞职 卸任
上半夜	后半夜
上半天	后半天
上半晌	下半晌
上场	下场 退场
上坡路	下坡路
上层	基层 下层
上层建筑	经济基础
上情下达	下情上达
上报	下达 匣铫
上水道	下水道
上涨	腾贵 下跌 下降 回落 下落
上班	下班 歇班 放工
上税	偷税 免税 抗税
上等	下等 低等 劣等
上等品	处理品
上等生	劣等生
上等货	珍贵品
上装	下装 卸装
上蹿下跳	不动如山 稳如泰山 镇定自若
上辈子	下辈子
上进	倒退 堕落 落后 进取
下	上
下	高 上 高字
下一代	老一辈
下不为例	不厌其烦
下临无地	蔽日干云
下井投石	乐善好施
下半响	上半晌
下半夜	前半夜
下半天	前半天
下半晌	上半晌
下坡路	上坡路
下头	上面 上头
下属	上司 上峰
下情上达	上情下达
下意识	有意识
下战书	上昼
下手	上手 住手
下水道	上水道
下流	高尚 上流
下笔成章	江郎才尽
下笔淋漓	文不加点
下等品	上等货
下脚货	上等货
下落	上涨 上升
下装	上装 化装
下贱	高尚 高洁 高贵
下跌	上涨 升涨
下载	上传 上载
下里巴人	阳春白雪
下野	上任 上台 在官
下马看花	走马看花
下马观花	细心吟味
下黑儿	拔白
不一定	包管
不一而足	寥寥无几 屈指可数
不三不四	正大光明
不三不四	正正经经 正襟危坐 堂堂正正 有板有眼 正大光明 有模有样 中规中矩 规规矩矩 一本正经
不世之材	不舞之鹤
不为五斗米折腰	摧眉折腰事权责
不为已甚	过为已甚
不主故常	安于现状
不久	好久 很久
不义之财	不谋私利劳动致富
不乏先例	下不为例
不乏其人	不可胜数
不乏其人	寥寥无几
不乾不净	一乾二净
不了了之	一气呵成 功德圆满 迎刃而解 一了百了 水到渠成
不了了之	贯彻始终
不事张扬	大事铺张
不事生产	白手起家
不二法门	歪门邪道
不亢不卑	趾高气扬
不亦乐乎	忧心忡忡
不仁不义	不念旧恶
不以一眚掩大德	攻其一点不及其余
不以为奇	诧为奇事
不以为然	五体投地 理所当然 所言极是 顶礼膜拜 仰承鼻息
不以为然	顶礼膜拜
不以成败论英雄	成则为王，败则为寇
不伏手	伏手
不休	放手 罢休 停止
不但如此	不过尔尔
不便	便利 方便
不修边幅	衣冠楚楚
不值一文	价值连城
不值一钱	价值连城
不值当	值当
不值得	值得
不假思索	慢条斯理
不假思索	深思熟虑
不偏不倚	畸轻畸重
不做声	出声
不入虎穴，焉得虎子	胆小如鼠
不共戴天	亲同手足
不共戴天	相依为命
不关宏旨	非同等闲
不关痛痒	切肤之痛
不关紧要	非同等闲
不凡	平凡
不出所料	出乎意料
不分畛域	一视同仁
不分疆界	壁垒分明
不分皂白	是非分明
不分皂白	黑白分明
不分胜负	决一雌雄
不分轩轾	权衡轻重
不分高低	不啻天地
不分�白	是非分明
不刊之论	不经之谈
不则声	出声
不加思索	殚精竭诚
不务空名	沽名钓誉
不务虚名	吊誉沽名
不动产	动产
不动声色	声色俱厉
不动形色	暴跳如雷
不劳而得	按劳取酬
不劳而获	寄人篱下
不劳而食	按劳取酬
不卑不亢	俯首帖耳
不卑不充	百顺百依
不卑不抗	百顺百依
不即不离	亲密无间
不厌其烦	下不为例
不可一世	旁若无人
不可一世	虚怀若谷 戒骄戒躁 妄自菲薄 大巧若拙 谦虚谨慎 低三下四 恭恭敬敬 大智若愚
不可以道里计	半斤八两
不可企及	指日可待
不可估量	屈指可数  寥若晨星
不可兼得	不遗葑菲
不可动摇	不攻自拔
不可同年而语	半斤八两
不可同日而语	半斤八两
不可名状	一语破的
不可名貌	不言而喻
不可多得	比比皆是
不可开交	分崩离析
不可思议	可想而知
不可思议	情有可原 通俗易懂 洞若观火 一目了然 可想而知
不可悉数	历历可数
不可或缺	多此一举
不可或缺	无足轻重 多此一举
不可抗拒	力挽狂澜
不可指数	历历可数
不可捉摸	一目了然
不可收拾	蒸蒸日上
不可救疗	妙手回春
不可救药	医药罔效
不可望其项背	半斤八两
不可枚举	历历可数
不可理喻	通情达理
不可磨灭	昙花一现
不可磨灭	过眼烟云 过眼云烟 昙花一现
不可移易	朝出夕改
不可究诘	寻根究底
不可终日	处之泰然
不可置信	不容置疑
不可胜数	不乏其人
不可胜数	寥寥无几 寡二少双 屈指一算 寥寥可数 寥若晨星 屈指可数
不可胜计	历历可数
不可胜记	历历可数
不可言宣	不言而喻
不可言状	不言而喻
不可讨究	寻根究底
不可逾越	后来居上
不可逾越	后来居上 易于反掌 近在咫尺 一步之遥
不合情理	合情合理
不合时宜	随机应变 切合时宜 因时制宜
不同凡响	平淡无奇
不同流俗	淡而无味
不名一文	不名一钱
不名一钱	不名一文
不吐不茹	茹柔吐刚
不咎既往	秋后算枨
不哼不哈	辩才无碍
不啻天地	半斤八两
不因人热	傍门依户
不在话下	鞭长莫及
不堪一击	屡战屡败
不堪入目	赏心悦目
不堪入耳	娓娓动听
不堪回首	喜出望外
不堪回首	大喜过望
不堪回首	大喜过望 喜出望外
不堪设想	相安无事
不堪设想	相安无事 安然无恙
不堪造就	大器晚成
不声不响	大吵大闹 大喊大叫
不声不响	大喊大叫
不大离	差得多
不失为	算不上
不失圭撮	差之千里
不失时机	过后行兵
不失毫厘	差之千里
不失累黍	差之千里
不失黍累	差之千里
不好意思	大言不惭
不如归去	竟日忘归
不妨	有关系 妨碍
不存芥蒂	方底圆盖
不学无术	博学多才
不学无知	八斗才高
不宁唯是	不过尔尔
不守本分	安分守己
不安	安定 放心 安心
不安分	守分
不宜	合宜 适宜
不实之辞	不刊之论
不害羞	脸皮薄
不害臊	脸皮薄
不容分说	畅所欲言
不容分辩	畅所欲言
不容置喙	畅所欲言
不容置疑	无稽之谈
不容置辩	畅所欲言
不寒而栗	临危不惧
不寒而栗	无所畏惧
不尴不尬	泰然自若
不尽人情	人之常情
不屈	抵抗 屈膝 抬头 屈服
不屑	器重 注重 重视
不屑一顾	大有可观 令人瞩目 刮目相看 垂涎三尺 爱不释手 爱不忍释 斤斤计较 举足轻重 肃然起敬
不屑一顾	斤斤计较
不巧	赶巧 正好 恰巧 凑巧
不差分毫	差之千里
不差毫厘	差之千里
不差毫发	差之千里
不差累黍	短斤缺两
不差黍累	差之千里
不干不净	纤尘不染
不幸	幸运 幸而 幸福
不当	恰当 适宜 合适 允洽 正当
不得不发	盘马弯弓
不得人心	口碑载道 深得人心 深入人心
不得人心	深得人心
不得劲	得劲
不得而知	了如指掌
不得而知	洞若观火 了如指掌
不得而闻	未卜先知
不得要领	提纲挈领 了如指掌 一目了然
不必	必定 一定 必要 必须 需要 恐怕 必需
不忍释卷	一暴十寒
不快	高兴 欢喜 愉快 欢快
不忮不求	多多益善
不念旧恶	睚�必报
不思悔改	闭门思过
不思进取	笨鸟先飞
不急之务	燃眉之急
不恤人言	谨言慎行
不惊鸡犬	鸡飞狗窜
不惑之年	豆蔻年华
不惑之年	豆蔻年华 黄金时代
不惭屋漏	暗室可欺
不惮其烦	不胜其烦
不愧屋漏	不欺暗室
不慌不忙	惊慌失措
不慌不忙	袒自若
不慕荣利	热中名利
不懈可击	有机可趁
不打紧	打紧
不打自招	屈打成招
不折不扣	七折八扣
不拘一格	如出一辙
不拘一格	如出一辙 千篇一律
不拘一格	论资排辈
不拘小节	慷慨解囊
不拘小节	谨小慎微
不拘小节	谨小慎微 锱铢必较 缩手缩脚 心胸狭窄 小心翼翼 锱珠必较 慷慨解囊
不拘绳墨	尺步绳趋
不择食	挑肥拣瘦
不擅辞令	善于辞令
不攻自破	坚如磐石
不攻自破	颠扑不破
不教而诛	仁至义尽
不敢后人	不思进取
不敢越雷池一步	百无禁忌
不文不武	得心应手
不料	意料 果真 料想 意外 料及
不斩之恩	九世之仇
不断	中止 间断 停止
不无小补	无济于事
不时之需	一定之规
不明不白	一清二楚
不明真相	洞烛其奸
不易之论	不刊之论
不是冤家不聚头	千里姻缘一线牵
不显身手	不露身手
不晓时务	审时度势
不服	信服 折服
不服气	服劲
不期而然	意料之中
不栉进士	不舞之鹤
不槐不怍	暗室可欺
不欢而散	欢聚一堂
不欢而散	济济一堂
不欺室漏	暗室可欺
不欺屋漏	暗室可欺
不欺暗室	不愧屋漏
不死不活	欢蹦乱跳
不毛之地	鱼米之乡
不求名利	求名求利
不求有功，但求无过	百尺竿头，更进一步
不求甚解	一知半解
不求闻达	利欲熏心
不法常可	安常习故
不济事	不赖
不济事	抵事
不满	折服 知足 贪心 满意
不爽	偃意 爽快
不甘	折服 甘心
不甘后人	不思进取
不甘寂寞	不闻不问
不甘後人	甘居中游
不甘示弱	不甘雌服
不甘示弱	甘拜匣镧 自暴自弃 不能自拔 甘拜下风
不甘落后	步人后尘 甘拜下风 萎靡不前 标新立异
不甘落後	标新立异
不甘雌伏	甘拜下风
不甘雌服	不甘示弱
不甘食贫	安贫乐道
不甚了了	洞察一切
不由分说	强词夺理
不畏浮云遮望眼，只缘身在最高层	不识庐山真面目，只缘身在此山中
不疾不徐	过犹不及
不痛不痒	死去活来
不白之冤	真相大白
不相上下	并行不悖
不相上下	无与比伦 并行不悖 迥乎不同 天差地远 天壤之别 美妙绝伦 鸿毛泰山 判若云泥 众寡悬殊 迥然不同 大相径庭 无与伦比 无可比拟 黯然失色
不相往来	息息相通
不相遇	打照面
不省人事	通情达理 耳聪目明
不着边际	入木三分
不着边际	鞭辟入里 乘虚蹈隙 一语道破 恰中肯綮 一语破的 言归正传 一针见血 一语中的
不矜不伐	妄自尊大
不知不觉	先知先觉
不知不觉	惊逃诏地 惊天动地 先知先觉
不知不识	八斗才高
不知世务	审时度势
不知凡几	如数家珍
不知凡几	如数家珍 寥寥无几
不知就里	洞察一切
不知所云	一板三眼
不知所云	通俗易懂 提纲挈领 出口成章 一板三眼 简明扼要
不知所以	老马识途
不知所厝	措置有方
不知所措	心中无数
不知所言	一板三眼
不知时务	审时度势
不知羞耻	面有愧色
不破不立	老调重弹
不祥	吉利 吉祥
不离儿	不济
不管三七二十一	丁是丁，卯是卯
不管不顾	三思而行
不紧不慢	匆匆忙忙
不约而同	言人人殊 见仁见智 众说纷纭
不经一事，不长一智	痴学不悟顽固不化
不经之谈	不易之论
不结实	牢固
不绝如缕	牢不可破
不置一词	论黄数黑
不置可否	旗帜鲜明
不羞小节	尺步绳趋
不群不党	狐群狗党
不翼而飞	合浦珠还
不耻下问	好为人师
不耻下问	骄傲自满
不肖子孙	忤逆子孙
不胜其烦	不惮其烦
不胜枚举	不乏其人
不胜枚举	寥寥无几 硕果仅存 空谷足音 聊胜于无 擢发难数 罄竹难书 寥寥可数 吉光片羽 寥若晨星 屈指可数
不能胜任	不在话下
不能自拔	勇往直前 昂首阔步 不甘示弱
不能自拔	懊悔无及
不自量力	量力而行
不舍得	不惜
不舞之鹤	八斗之才
不苟言笑	谈笑风生
不苟言笑	道貌岸然
不苟言谈	高谈阔论
不落窠臼	陈陈相因
不落窠臼	陈陈相因 鹦鹉学舌 依样葫芦 亦步亦趋 按图索骏 按图索骥 如法泡制 因循守旧 步人后尘 千篇一律 如法炮制
不虚此行	徒劳往返
不虞匮乏	百城南面
不衫不履	衣冠楚楚
不见天日	重见天日
不见得	包管
不见经传	胡说八道
不见薪新	明察暗访
不解	明白 通晓
不解之缘	一刀两断
不言不语	绘影绘声
不计其数	寥寥无几
不计其数	屈指可数
不许	可以 准许
不设城府	别具肺肠
不识不知	无所不晓
不识大体	顾全大局
不识庐山真面目，只缘身在此山中	不畏浮云速望眼，只缘身在最高层
不识抬举	感恩戴德
不识时务	审时度势
不详	详细 详尽
不谋私利	不义之财
不败之地	百战不殆
不赞一辞	口如悬河
不足	充足 超过 缺乏 盈余 有余 实足 进取 满足 多余 充分 先进 过剩
不足为奇	大惊小怪
不足为训	奉为圭臬
不足介意	置之度外
不足凭信	证据确凿
不足效法	奉为圭璧
不足轻重	非同等闲
不足重轻	非同等闲
不足齿及	非同小可
不辞劳瘁	好吃懒做
不辞劳苦	好逸恶劳
不辞劳苦	好逸恶劳 拈轻怕重
不辞而别	不速之客
不辞辛劳	四体不勤,五谷不分 好逸恶劳 拈轻怕重 四体不勤
不辞辛劳	摩顶放踵
不辞辛苦	好吃懒做
不辞辛苦	好逸恶劳 拈轻怕重
不辨菽麦	博学多才
不辨菽麦	学富五车
不达时务	审时度势
不过尔尔	不同凡响
不近人情	悖理违情
不近人情	通情达理
不近情理	强词夺理
不进则退	勇往直前
不远千里	近在咫尺
不适	适应 合适 适宜
不通人情	通情达理
不通情理	合情合理
不逞之徒	善良之辈
不速之客	不辞而别
不遗余力	留有余地 三心二意
不量其力	量力而为
不问不闻	搅三搅四
不问青红皂白	泾渭分明
不闻不问	不甘寂寞
不雅观	雅观
不露圭角	崭露头角
不露声色	义形於色
不露身手	不显身手
不食之地	肥田沃土
不食周粟	随遇而安
不骄不躁	才高气傲
不骄不躁	骄傲自满
不高兴	高兴
不齿于人	举世瞩目
与	受
与世浮沉	超然物外
与世长辞	青春永驻 长生不死 死而复生 万寿无疆 长生不老
与人为善	嫁祸于人
与众不同	司空见惯 习以为常 平淡无奇
与民争利	拔葵去织
与民同忧	与民同乐
丑	俊 美
丑	美
丑八怪	娥眉
丑名远扬	驰名天下
丑声远播	名垂千古
丑小鸭	白天鹅
丑态百出	威风凛凛
丑态百出	威风凛凛 风姿绰约 才貌双全 丰姿绰约 婀娜多姿 彬彬有礼 尽态极妍
丑恶	优美 俊美 艳丽 美好 好看 俊秀 美丽 俊俏 善良
丑陋不堪	闭月羞花
专	博
专一	反覆 分心 混杂
专业	业余 副业
专心一意	魂不守舍
专心致志	三心二意
专心致志	神不守舍 心猿意马 魂不守舍 漫不经心 心不在焉 二三其德 麻痹大意 一心二用 三心二意 见异思迁 三心两意 一心二意 三翻四复
专横	谦恭 民主
专用	通用 公用 兼用
专程	顺便 顺道
专职本职	兼职
专诚	顺便 特意
专门家	门外汉
世不二出	不一而足
世代相传	旷古绝伦
世代簪缨	布衣素族
世俗之见	独到之见
世外桃源	人间地狱
世宦人家	布衣素族
世家望族	布衣素族
世所罕见	百年不遇
世故	天真 纯真
世界和平	世界大战
世界大乱	兵连祸结
世界大战	世界和平
世风日下	移风移俗
业余	专业 职业
业精于勤	玩物丧志
东	西
东劳西燕	白发相守
东半球	西半球
东奔西走	安家落户 东奔西跑 安营扎寨 萍踪浪迹 走南闯北 深居简出 按兵不动 四海为家 浪迹天涯 足不出户 安土重迁 东食西宿
东奔西逃	百战百胜
东山再起	一蹶不振
东山复起	东山高卧
东山高卧	东山复起
东张西望	目不邪视
